,Date,Hour,Daily Peak Probability,Vote
0,1/1/2008,1,,0
1,1/1/2008,2,,0
2,1/1/2008,3,,0
3,1/1/2008,4,,0
4,1/1/2008,5,,0
5,1/1/2008,6,,0
6,1/1/2008,7,,0
7,1/1/2008,8,,0
8,1/1/2008,9,,0
9,1/1/2008,10,,1
10,1/1/2008,11,,0
11,1/1/2008,12,,0
12,1/1/2008,13,,0
13,1/1/2008,14,,0
14,1/1/2008,15,,0
15,1/1/2008,16,,0
16,1/1/2008,17,,0
17,1/1/2008,18,,3
18,1/1/2008,19,,181
19,1/1/2008,20,,607
20,1/1/2008,21,,102
21,1/1/2008,22,,104
22,1/1/2008,23,,2
23,1/1/2008,24,,0
24,1/2/2008,1,,0
25,1/2/2008,2,,0
26,1/2/2008,3,,0
27,1/2/2008,4,,0
28,1/2/2008,5,,0
29,1/2/2008,6,,0
30,1/2/2008,7,,115
31,1/2/2008,8,,400
32,1/2/2008,9,,17
33,1/2/2008,10,,0
34,1/2/2008,11,,0
35,1/2/2008,12,,0
36,1/2/2008,13,,0
37,1/2/2008,14,,0
38,1/2/2008,15,,0
39,1/2/2008,16,,0
40,1/2/2008,17,,0
41,1/2/2008,18,,0
42,1/2/2008,19,,0
43,1/2/2008,20,,155
44,1/2/2008,21,,230
45,1/2/2008,22,,83
46,1/2/2008,23,,0
47,1/2/2008,24,,0
48,1/3/2008,1,,0
49,1/3/2008,2,,0
50,1/3/2008,3,,0
51,1/3/2008,4,,0
52,1/3/2008,5,,0
53,1/3/2008,6,,0
54,1/3/2008,7,,750
55,1/3/2008,8,,176
56,1/3/2008,9,,74
57,1/3/2008,10,,0
58,1/3/2008,11,,0
59,1/3/2008,12,,0
60,1/3/2008,13,,0
61,1/3/2008,14,,0
62,1/3/2008,15,,0
63,1/3/2008,16,,0
64,1/3/2008,17,,0
65,1/3/2008,18,,0
66,1/3/2008,19,,0
67,1/3/2008,20,,0
68,1/3/2008,21,,0
69,1/3/2008,22,,0
70,1/3/2008,23,,0
71,1/3/2008,24,,0
72,1/4/2008,1,,0
73,1/4/2008,2,,0
74,1/4/2008,3,,0
75,1/4/2008,4,,0
76,1/4/2008,5,,0
77,1/4/2008,6,,0
78,1/4/2008,7,,262
79,1/4/2008,8,,634
80,1/4/2008,9,,97
81,1/4/2008,10,,1
82,1/4/2008,11,,0
83,1/4/2008,12,,0
84,1/4/2008,13,,0
85,1/4/2008,14,,0
86,1/4/2008,15,,0
87,1/4/2008,16,,0
88,1/4/2008,17,,0
89,1/4/2008,18,,0
90,1/4/2008,19,,1
91,1/4/2008,20,,4
92,1/4/2008,21,,1
93,1/4/2008,22,,0
94,1/4/2008,23,,0
95,1/4/2008,24,,0
96,1/5/2008,1,,0
97,1/5/2008,2,,0
98,1/5/2008,3,,0
99,1/5/2008,4,,0
100,1/5/2008,5,,0
101,1/5/2008,6,,0
102,1/5/2008,7,,0
103,1/5/2008,8,,0
104,1/5/2008,9,,0
105,1/5/2008,10,,0
106,1/5/2008,11,,0
107,1/5/2008,12,,0
108,1/5/2008,13,,0
109,1/5/2008,14,,0
110,1/5/2008,15,,0
111,1/5/2008,16,,0
112,1/5/2008,17,,0
113,1/5/2008,18,,0
114,1/5/2008,19,,364
115,1/5/2008,20,,566
116,1/5/2008,21,,70
117,1/5/2008,22,,0
118,1/5/2008,23,,0
119,1/5/2008,24,,0
120,1/6/2008,1,,0
121,1/6/2008,2,,0
122,1/6/2008,3,,0
123,1/6/2008,4,,0
124,1/6/2008,5,,0
125,1/6/2008,6,,0
126,1/6/2008,7,,0
127,1/6/2008,8,,0
128,1/6/2008,9,,0
129,1/6/2008,10,,6
130,1/6/2008,11,,0
131,1/6/2008,12,,0
132,1/6/2008,13,,0
133,1/6/2008,14,,0
134,1/6/2008,15,,0
135,1/6/2008,16,,0
